STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/20/2000,,,0,0,0,28,32,23,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/21/2000,,,0,0,0,33,46,19,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/22/2000,,,0,0,0,48,56,40,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/23/2000,,,0.03,0,0,53,64,42,,0,,,,1,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/24/2000,,,0.1,0,0,55,62,48,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/25/2000,,,0,0,0,59,73,45,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/26/2000,,,0.42,0,0,58,62,53,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/27/2000,,,0.17,0,0,46,53,38,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/28/2000,,,0,0,0,42,52,32,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/29/2000,,,0,0,0,48,60,35,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/1/2000,,,0.02,0,0,47,56,38,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/2/2000,,,0,0,0,35,40,29,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/3/2000,,,0,0,0,36,48,23,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/4/2000,,,0,0,0,41,55,26,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/5/2000,,,0,0,0,49,64,34,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/6/2000,,,0,0,0,50,67,33,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/7/2000,,,0,0,0,59,74,44,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/8/2000,,,0,0,0,63,79,47,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/9/2000,,,0,0,0,49,65,32,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/10/2000,,,0,0,0,34,37,30,,0,,,,,,,,,,,,,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/11/2000,,,0.38,8.8,0,30,33,26,,0,,1,1,,,,,,,,,1,,,,,1,,,1
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/12/2000,,,0,0,9,29,37,20,,0.7,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/13/2000,,,0,0,4,30,39,21,,0.4,,,,,,,,,,,,,,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/14/2000,,,0.05,0,1,42,52,32,,0,,1,1,,,,,,1,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/15/2000,,,0.01,0,0,54,66,41,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/16/2000,,,0.01,0.1,0,43,57,29,,0,,1,,,,,,,,,,1,1,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/17/2000,,,0,0,0,0,38,23,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/18/2000,,,0,0,0,32,45,19,,0,,,,,,,,,,,,,,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/19/2000,,,0.55,0,0,42,49,34,,0,,1,,,,,,,,,,1,1,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/20/2000,,,0.56,0,0,48,50,46,,0,,1,,,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/21/2000,,,0,0,0,46,52,40,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/22/2000,,,0,0,0,50,58,41,,0,,1,1,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/23/2000,,,0,0,0,49,62,35,,0,,1,1,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/24/2000,,,0.01,0,0,59,74,43,,0,,1,,,,,,,1,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/25/2000,,,0,0,0,55,63,47,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/26/2000,,,0,0,0,50,62,38,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/27/2000,,,0.26,0,0,48,54,41,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/28/2000,,,0.16,0.2,0,40,45,34,,0,,1,,,,,,,,,,1,1,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/29/2000,,,0,0,0,41,48,33,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/30/2000,,,0,0,0,41,53,28,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",3/31/2000,,,0,0,0,43,59,27,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/1/2000,,,0,0,0,50,65,35,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/2/2000,,,0,0,0,53,56,50,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/3/2000,,,0,0,0,54,59,49,,0,,1,1,,,,,,1,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/4/2000,,,0,0,0,38,48,28,,0,,,,,,,,,,,,,,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/5/2000,,,0,0,0,41,54,27,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/6/2000,,,0,0,0,53,62,44,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/7/2000,,,0.55,0,0,48,56,39,,0,,1,,,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/8/2000,,,0.04,0.4,0,37,43,30,,0,,1,,,,,,,,,,1,1,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/9/2000,,,0,0,0,40,54,25,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/10/2000,,,0.01,0,0,37,46,27,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/11/2000,,,0.03,0,0,41,45,36,,0,,1,,,,,,,,,,1,1,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/12/2000,,,0,0,0,39,48,30,,0,,1,,,,,,,,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/13/2000,,,0,0,0,45,59,31,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/14/2000,,,0,0,0,55,72,37,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",4/15/2000,,,0,0,0,62,75,49,,0,,1,,,,,,,1,,,1,,,,,,,,
